,winery,variety,country,province,price,points
57786,Buttonwood Farm,Merlot,US,California,22.0,81
57787,Georges Duboeuf,Gamay,France,Beaujolais,20.0,90
57788,Sextant,Red Blend,US,California,28.0,89
57789,Cuvaison,Chardonnay,US,California,25.0,88
57790,Domaine des Deux,Chardonnay,France,Burgundy,18.0,83
57791,Marchesi di Barolo,Dolcetto,Italy,Piedmont,18.0,87
57792,Château Haut Bages,Bordeaux-style Red Blend,France,Bordeaux,30.0,87
57793,Mattebella,Chardonnay,US,New York,17.0,87
57794,Almquist,Sangiovese,US,Washington,30.0,90
57795,Yorba,Rosado,US,California,28.0,87
57796,Paul Jaboulet Aîné,Syrah,France,Rhône Valley,28.0,90
57797,Bodegas Yuste,Sherry,Spain,Andalucia,18.0,88
57798,McFadden,Pinot Noir,US,California,19.0,89
57799,Calina,Cabernet Sauvignon,Chile,Maule Valley,15.0,90
57800,Stottle,Syrah,US,Washington,32.0,88
57801,Astrales,Tempranillo,Spain,Northern Spain,90.0,91
57802,Shannon,Chardonnay,US,California,32.0,89
57803,Andrew Murray,G-S-M,US,California,25.0,86
57804,Michele Chiarlo,Cortese,Italy,Piedmont,19.0,87
57805,The Eyrie Vineyards,Pinot Blanc,US,Oregon,17.0,90
57806,Tossals,Rhône-style Red Blend,Spain,Catalonia,16.0,85
57807,Vinopera Bervini,Glera,Italy,Veneto,19.0,85
57808,Montes,Chardonnay,Chile,Casablanca Valley,23.0,87
57809,Château le Doyenne,Bordeaux-style Red Blend,France,Bordeaux,22.0,87
57810,Jefferson Vineyards,Cabernet Franc,US,Virginia,22.0,86
57811,Tre Monti,White Blend,Italy,Central Italy,21.0,86
57812,Ramos-Pinto,Portuguese Red,Portugal,Douro,31.0,92
57813,Finca La Estacada,Tempranillo,Spain,Central Spain,13.0,88
57814,Mauro Veglio,Nebbiolo,Italy,Piedmont,69.0,92
57815,Gregory Graham,Pinot Noir,US,California,38.0,87
57816,Landmark,Chardonnay,US,California,55.0,86
57817,Domaine de l'Ermitage,Sauvignon Blanc,France,Loire Valley,20.0,89
57818,Lagana,Syrah,US,Washington,30.0,86
57819,Autoritas,Shiraz,Chile,Colchagua Valley,17.0,88
57820,Flora Springs,Cabernet Sauvignon,US,California,100.0,95
57821,Agate Ridge,Cabernet Sauvignon,US,Oregon,24.0,83
57822,Château Lafleur-Gazin,Bordeaux-style Red Blend,France,Bordeaux,40.0,90
57823,Kings Ridge,Pinot Noir,US,Oregon,17.0,86
57824,Y Rousseau,Cabernet Sauvignon,US,California,65.0,92
57825,Wild Horse,Pinot Noir,US,California,60.0,86
57826,Wines & Winemakers,Portuguese Red,Portugal,Península de Setúbal,12.0,84
57827,Lorenzi Estate,Zinfandel,US,California,28.0,88
57828,Lane Tanner,Pinot Noir,US,California,26.0,86
57829,Chappellet,Cabernet Sauvignon,US,California,56.0,91
57830,Bodegas Virgen del,Tempranillo Blend,Spain,Northern Spain,12.0,84
57831,Tenute Silvio Nardi,Sangiovese,Italy,Tuscany,148.0,93
57832,JR Wine,Red Blend,US,California,34.0,85
57833,Francis Ford Coppola,Pinot Noir,US,California,27.0,90
57834,Jenke,Cabernet Sauvignon,Australia,South Australia,25.0,87
57835,Vigne Matte,Prosecco,Italy,Veneto,25.0,86
57836,Bodegas Ateca,Garnacha,Spain,Northern Spain,9.0,83
57837,Serra da Estrela,Albariño,Spain,Galicia,15.0,83
57838,Nicora,Syrah,US,California,50.0,92
57839,Adegas D'Altamira,Albariño,Spain,Galicia,15.0,89
57840,Pomelo,Sauvignon Blanc,US,California,10.0,88
57841,Fess Parker,Pinot Noir,US,California,28.0,87
57842,Hovey,Zinfandel,US,California,24.0,89
57843,Almquist,Red Blend,US,Washington,20.0,90
57844,Tablas Creek,Vermentino,US,California,27.0,90
57845,Viña Mar de,Sauvignon Blanc,Chile,Casablanca Valley,19.0,88
57846,J. Bookwalter,Cabernet Sauvignon,US,Washington,45.0,90
57847,Charles Smith,Cabernet Sauvignon,US,Washington,20.0,88
57848,Sheldrake Point,Cabernet Franc,US,New York,19.0,86
57849,Ryan Patrick,Cabernet Sauvignon,US,Washington,35.0,88
57850,Keuka Spring,Riesling,US,New York,15.0,87
57851,Katnook Estate,Cabernet Sauvignon,Australia,South Australia,20.0,89
57852,Pradorey,Tempranillo Blend,Spain,Northern Spain,28.0,87
57853,Redgate,Pinot Gris,US,Oregon,15.0,83
57854,Bodegas Real,Tempranillo,Spain,Central Spain,10.0,84
57855,Château de Palayson,Cabernet-Syrah,France,Provence,40.0,89
57856,Athair,Chardonnay,US,California,32.0,85
57857,Hawkes,Cabernet Sauvignon,US,California,40.0,87
57858,Santa Ema,Chardonnay,Chile,Maipo Valley,10.0,84
57859,Bruno Paillard,Chardonnay,France,Champagne,90.0,95
57860,St. Supéry,Cabernet Sauvignon,US,California,125.0,90
57861,South Coast,Sparkling Blend,US,California,19.0,89
57862,Chilensis,Sauvignon Blanc,Chile,Casablanca Valley,12.0,87
57863,Beau Joubert,Cabernet Sauvignon,South Africa,Stellenbosch,17.0,90
57864,Louis Guntrum,Riesling,Germany,Rheinhessen,20.0,89
57865,Napoma,Pinot Noir,US,California,37.0,87
57866,Quinta do Casal,Portuguese Red,Portugal,Tejo,15.0,87
57867,Cass,Rhône-style Red Blend,US,California,42.0,84
57868,Callaway,Merlot,US,California,10.0,82
57869,Máté,Sangiovese,Italy,Tuscany,65.0,88
57870,Cookies & Cream,Pinot Grigio,US,California,10.0,86
57871,Bryn Mawr Vineyards,Pinot Noir,US,Oregon,28.0,88
57872,Ghost Pines,Chardonnay,US,California,20.0,83
57873,Funky Llama,Malbec,Argentina,Mendoza Province,8.0,81
57874,Parmeson,Cabernet Sauvignon,US,California,60.0,85
57875,Chanson Père et,Chardonnay,France,Burgundy,25.0,84
57876,Château Haut Maurin,Sauvignon Blanc,France,Bordeaux,12.0,85
57877,R & B,Cabernet Sauvignon,US,California,65.0,84
57878,Marsuret,Glera,Italy,Veneto,22.0,87
57879,La Clarine Farm,Rosé,US,California,18.0,82
57880,Umani Ronchi,Verdicchio,Italy,Central Italy,14.0,87
57881,Uccelliera,Sangiovese Grosso,Italy,Tuscany,20.0,88
57882,Viña Chocalan,Carmenère,Chile,Maipo Valley,14.0,86
57883,Casa Cadaval,Rosé,Portugal,Tejo,13.0,83
57884,Ramos-Pinto,Port,Portugal,Port,20.0,86
57885,Baldacci,Cabernet Sauvignon,US,California,65.0,94
57886,Royal Tokaji,Furmint,Hungary,Tokaji,17.0,89
57887,De Loach,Pinot Noir,US,California,50.0,93
57888,Cartuxa,Portuguese Red,Portugal,Alentejo,19.0,92
57889,Dalton,Cabernet Sauvignon,Israel,Galilee,20.0,91
57890,De Bortoli,Pinot Noir,Australia,Victoria,15.0,85
57891,Toros,Pinot Grigio,Italy,Northeastern Italy,25.0,88
57892,Sanford,Pinot Noir,US,California,35.0,87
57893,Tosti,Pinot Nero,Italy,Piedmont,49.0,92
57894,Paul Beaudet,Gamay,France,Beaujolais,26.0,92
57895,Artadi,Rosé,Spain,Northern Spain,11.0,87
57896,Tinhorn Creek,Chardonnay,Canada,British Columbia,19.0,87
57897,Sonoma-Loeb,Pinot Noir,US,California,42.0,86
57898,Melanson,Cabernet Sauvignon,US,California,67.0,93
57899,Anaba,Rhône-style White Blend,US,California,24.0,90
57900,Albemarle,Rosé,US,Virginia,14.0,84
57901,Castello Gabiano,Barbera,Italy,Piedmont,41.0,89
57902,Château Haut Clairbes,Bordeaux-style Red Blend,France,Bordeaux,14.0,86
57903,Esser Cellars,Chardonnay,US,California,8.0,90
57904,Domaine Jacques Prieur,Chardonnay,France,Burgundy,79.0,87
57905,Uwe Schiefer,Austrian white blend,Austria,Burgenland,16.0,90
57906,Jean-Claude Boisset,Chardonnay,France,Burgundy,22.0,84
57907,Bric Cenciurio,Nebbiolo,Italy,Piedmont,90.0,91
57908,Quinta da Alorna,Portuguese White,Portugal,Tejo,10.0,86
57909,Seavey,Cabernet Sauvignon,US,California,64.0,92
57910,Small Vines,Pinot Noir,US,California,71.0,92
57911,A to Z,Chardonnay,US,Oregon,15.0,87
57912,Argyle,Riesling,US,Oregon,30.0,91
57913,Concha y Toro,Pinot Noir,Chile,Chile,11.0,85
57914,Tandem,Chardonnay,US,California,42.0,92
57915,Fontanabianca,Nebbiolo,Italy,Piedmont,62.0,87
57916,Margerum,Syrah,US,California,36.0,88
57917,Herdade do Rocim,Portuguese White,Portugal,Lisboa,21.0,89
57918,Ryan Patrick,Chardonnay,US,Washington,10.0,86
57919,Ardor,White Blend,US,Washington,25.0,87
57920,Kunde,Cabernet Sauvignon,US,California,45.0,87
57921,Tinhorn Creek,White Blend,Canada,British Columbia,20.0,87
57922,Ryan Patrick,Chardonnay,US,Washington,12.0,88
57923,McCall,Chardonnay,US,New York,39.0,90
57924,Château du Carrubier,Rosé,France,Provence,20.0,90
57925,Trefethen,Riesling,US,California,25.0,88
57926,Tuck Beckstoffer,Pinot Noir,US,California,85.0,89
57927,Burrowing Owl,Cabernet Franc,Canada,British Columbia,38.0,91
57928,Château la Bretonnière,Bordeaux-style Red Blend,France,Bordeaux,20.0,86
57929,Vanessa,Meritage,Canada,British Columbia,32.0,92
57930,Patit Creek Cellars,Tempranillo,US,Washington,28.0,87
57931,Merry Edwards,Pinot Noir,US,California,54.0,92
57932,Argyle,Chardonnay,US,Oregon,20.0,90
57933,Vall Llach,Red Blend,Spain,Catalonia,65.0,92
57934,Sottano,Malbec,Argentina,Mendoza Province,24.0,91
57935,Big Ass,Zinfandel,US,California,15.0,91
57936,Casa Agricola Alexandre,Portuguese Red,Portugal,Alentejano,20.0,88
57937,Pierre-Luc Bouchaud,Melon,France,Loire Valley,13.0,86
57938,Producteurs Plaimont,Red Blend,France,Southwest France,14.0,90
57939,Weingut Groiss,Zweigelt,Austria,Wagram,16.0,90
57940,Valle Reale,Trebbiano,Italy,Central Italy,11.0,86
57941,Fantinel,Pinot Grigio,Italy,Northeastern Italy,23.0,87
57942,Purple Hands,Pinot Noir,US,Oregon,50.0,91
57943,Nisia,Verdejo,Spain,Northern Spain,32.0,87
57944,Aubichon Cellars,Pinot Gris,US,Oregon,25.0,90
57945,Feudi del Pisciotto,Chardonnay,Italy,Sicily & Sardinia,20.0,86
57946,Château Clément Termes,Rosé,France,Southwest France,16.0,85
57947,Tokara,Sauvignon Blanc,South Africa,Western Cape,17.0,87
57948,Marchesi de' Frescobaldi,Red Blend,Italy,Tuscany,18.0,85
57949,Colognole,Sangiovese,Italy,Tuscany,35.0,88
57950,Chacewater,Merlot,US,California,22.0,90
57951,Ca' Marcanda,Red Blend,Italy,Tuscany,40.0,90
57952,Vins des Personnets,Chardonnay,France,Burgundy,17.0,87
57953,Nieto Senetiner,Torrontés,Argentina,Mendoza Province,12.0,84
57954,Château de la,Melon,France,Loire Valley,16.0,90
57955,Jaffurs,Grenache,US,California,34.0,87
57956,Delamotte,Chardonnay,France,Champagne,112.0,92
57957,Casca Wines,Viosinho,Portugal,Douro,35.0,91
57958,Lungarotti,Sagrantino,Italy,Central Italy,60.0,90
57959,Château Landereau,Bordeaux-style Red Blend,France,Bordeaux,18.0,88
57960,Argiolas,Vermentino,Italy,Sicily & Sardinia,15.0,89
57961,Kohl,Grüner Veltliner,Austria,Weinviertel,22.0,90
57962,Château la Gaffelière,Bordeaux-style Red Blend,France,Bordeaux,90.0,94
57963,Domaine Laporte,Sauvignon Blanc,France,Loire Valley,23.0,86
57964,Cedarville Vineyard,Viognier,US,California,20.0,92
57965,Elevation Cellars,Riesling,US,Washington,17.0,88
57966,Northstar,Merlot,US,Washington,85.0,93
57967,Lamoreaux Landing,Chardonnay,US,New York,20.0,86
57968,Tres Valles,Sauvignon Blanc,Mexico,Valle de Guadalupe,15.0,84
57969,Lake Chelan,Riesling,US,Washington,20.0,84
57970,Rosenhof,Welschriesling,Austria,Burgenland,29.0,87
57971,Raphael,Merlot,US,New York,22.0,89
57972,Brander,White Blend,US,California,22.0,90
57973,Argyle,Sparkling Blend,US,Oregon,75.0,93
57974,Pietranera,Sangiovese,Italy,Tuscany,25.0,87
57975,Mark Ryan,Cabernet Sauvignon,US,Washington,80.0,95
57976,San Simeon,Cabernet Sauvignon,US,California,25.0,84
57977,Mount Pleasant Winery,Vignoles,US,Missouri,21.0,86
57978,Madrigal,Zinfandel,US,California,26.0,92
57979,Cono Sur,Sauvignon Blanc,Chile,Central Valley,13.0,86
57980,Henry Fessy,Gamay,France,Beaujolais,20.0,86
57981,Herdade das Servas,Portuguese Red,Portugal,Alentejano,14.0,89
57982,Château de Janicon,Bordeaux-style Red Blend,France,Bordeaux,35.0,84
57983,Gershon Bachus,White Blend,US,California,32.0,89
57984,Domaine Amirault,Chenin Blanc,France,Loire Valley,24.0,89
57985,Muscardini,Cabernet Sauvignon,US,California,42.0,88
57986,Maximin Grünhäuser,Riesling,Germany,Mosel-Saar-Ruwer,50.0,93
57987,Chanoine,Champagne Blend,France,Champagne,40.0,90
57988,Quinta Nova de,Portuguese Red,Portugal,Douro,65.0,93
57989,Margerum,Grenache,US,California,40.0,93
57990,Gary Farrell,Pinot Noir,US,California,55.0,92
57991,Feudo di Santa,White Blend,Italy,Sicily & Sardinia,16.0,87
57992,CARM,Portuguese White,Portugal,Douro,11.0,87
57993,Seven Hills,Carmenère,US,Washington,35.0,89
57994,Vignoble de la,Cabernet Franc,France,Loire Valley,55.0,90
57995,La Selva,Red Blend,Italy,Tuscany,26.0,88
57996,Dr. Loosen,Riesling,Germany,Mosel,28.0,88
57997,Bortomiol,Glera,Italy,Veneto,22.0,88
57998,Tenuta Buon Tempo,Sangiovese,Italy,Tuscany,80.0,91
57999,Vine Cliff,Cabernet Sauvignon,US,California,80.0,92
58000,Volpe Pasini,Friulano,Italy,Northeastern Italy,38.0,87
58001,Schloss Saarstein,Riesling,Germany,Mosel,38.0,93
58002,Glárima,Red Blend,Spain,Northern Spain,13.0,82
58003,Rocche dei Manzoni,Nebbiolo,Italy,Piedmont,105.0,87
58004,Lucas & Lewellen,Merlot,US,California,58.0,89
58005,Buglioni,"Corvina, Rondinella, Molinara",Italy,Veneto,36.0,88
58006,Mayacamas,Chardonnay,US,California,35.0,92
58007,Dr. Heidemanns-Bergweiler,Riesling,Germany,Mosel,38.0,91
58008,La Casa Dell'Orco,Falanghina,Italy,Southern Italy,12.0,84
58009,Aveleda,Portuguese White,Portugal,Vinho Verde,8.0,85
58010,Château Ramage la,Bordeaux-style Red Blend,France,Bordeaux,30.0,86
58011,Tenute dei Vallarino,Barbera,Italy,Piedmont,14.0,88
58012,Murdoch James,Pinot Noir,New Zealand,Martinborough,25.0,86
58013,Caves Velhas,Arinto,Portugal,Bucelas,25.0,88
58014,Rex Hill,Pinot Noir,US,Oregon,52.0,91
58015,McGregor,Cabernet Sauvignon,US,New York,30.0,91
58016,Louis Latour,Pinot Noir,France,Burgundy,80.0,90
58017,Sineann,Sauvignon Blanc,New Zealand,Marlborough,20.0,89
58018,Caprili,Sangiovese,Italy,Tuscany,85.0,94
58019,Soléna,Pinot Noir,US,Oregon,30.0,87
58020,Turn 4,White Blend,US,California,15.0,85
58021,Wildhurst,Sauvignon Blanc,US,California,14.0,91
58022,Guicciardini Strozzi,Vernaccia,Italy,Tuscany,19.0,89
58023,Pierre-Yves et Olivier,Chardonnay,France,Burgundy,19.0,87
58024,Kendall-Jackson,Merlot,US,California,16.0,86
58025,Château Lynch-Moussas,Bordeaux-style Red Blend,France,Bordeaux,71.0,89
58026,Caruso & Minini,Perricone,Italy,Sicily & Sardinia,27.0,90
58027,Longplay,Pinot Noir,US,Oregon,45.0,89
58029,Yemaserena,Tempranillo,Spain,Central Spain,25.0,89
58030,Astoria,Glera,Italy,Veneto,13.0,87
58031,J. Lohr,Cabernet Sauvignon,US,California,40.0,89
58032,Tenute Mater Domini,Negroamaro,Italy,Southern Italy,15.0,86
58033,Storyteller,Red Blend,US,California,25.0,88
58034,Terroirs et Talents,Gamay,France,Beaujolais,21.0,90
58035,Ponzi,Chardonnay,US,Oregon,30.0,89
58036,Napa Family Vineyards,Chardonnay,US,California,10.0,83
58037,Ferghettina,Chardonnay,Italy,Lombardy,60.0,90
58038,Quara,Malbec,Argentina,Other,11.0,85
58039,Chateau Morrisette,Petit Verdot,US,Virginia,20.0,84
58040,Pascal Aufranc,Gamay,France,Beaujolais,20.0,89
58041,Zuccardi,Chardonnay,Argentina,Mendoza Province,20.0,87
58042,Due Cani,Cabernet Sauvignon-Merlot,US,California,39.0,82
58043,Bridgeview,Chardonnay,US,Oregon,7.0,88
58044,Codorníu,Sparkling Blend,Spain,Catalonia,15.0,84
58045,Bonterra,Red Blend,US,California,36.0,87
58046,Hermann Moser,Grüner Veltliner,Austria,Kremstal,13.0,90
58047,Domaine Saint-Rémy,Pinot Gris,France,Alsace,24.0,88
58048,Domaine Laporte,Sauvignon Blanc,France,Loire Valley,40.0,93
58049,Château Peyros,Tannat-Cabernet Franc,France,Southwest France,14.0,92
58050,Taken Wine Co.,Pinot Noir,US,California,20.0,87
58051,Domaine Zind-Humbrecht,Gewürztraminer,France,Alsace,26.0,88
58052,Ramey,Cabernet Sauvignon,US,California,200.0,95
58053,Forgeron,Merlot,US,Washington,46.0,91
58054,Tritón,Tempranillo,Spain,Northern Spain,20.0,85
58055,Chanson Père et,Pinot Noir,France,Burgundy,69.0,93
58056,Moshin,Pinot Noir,US,California,55.0,87
58057,JCB,Pinot Noir,US,California,65.0,90
58058,Casca Wines,Portuguese Red,Portugal,Alentejano,13.0,88
58059,Remy-Pannier,Sauvignon Blanc,France,Loire Valley,12.0,84
58060,Montemar Wines,Syrah,US,California,40.0,89
58061,Donnafugata,Zibibbo,Italy,Sicily & Sardinia,40.0,95
58062,Terra Valentine,Bordeaux-style Red Blend,US,California,75.0,93
58063,The Four Graces,Pinot Noir,US,Oregon,32.0,89
58064,Calatrasi,Nero d'Avola,Italy,Sicily & Sardinia,10.0,83
58065,Bisceglia,Aglianico,Italy,Southern Italy,13.0,87
58066,Global Wines,Portuguese Red,Portugal,Alentejano,9.0,85
58067,Passopisciaro,Nerello Mascalese,Italy,Sicily & Sardinia,63.0,93
58068,De Stefani,Glera,Italy,Veneto,24.0,87
58069,Ruinart,Chardonnay,France,Champagne,135.0,93
58070,Methven Family Vineyards,Pinot Noir,US,Oregon,33.0,87
58071,Thomas Schmitt,Riesling,Germany,Mosel,14.0,89
58072,Trapiche,Syrah-Viognier,Argentina,Mendoza Province,50.0,89
58073,El Cortijillo,Tempranillo,Spain,Central Spain,9.0,86
58074,Woodward Canyon,Sauvignon Blanc,US,Washington,26.0,93
58075,Mantra,Cabernet Sauvignon,US,California,65.0,87
58076,Massolino,Nebbiolo,Italy,Piedmont,99.0,95
58077,Di Arie,Red Blend,US,California,35.0,85
58078,DFJ Vinhos,Arinto,Portugal,Lisboa,10.0,86
58079,Cuyen,Sauvignon Blanc,Chile,Central Valley,10.0,83
58080,La Chablisienne,Chardonnay,France,Burgundy,24.0,89
58081,Penner-Ash,Riesling,US,Oregon,24.0,91
58082,Iron Horse,Pinot Noir,US,California,85.0,90
58083,Quinta da Raza,Arinto,Portugal,Vinho Verde,15.0,86
58084,Kirkland Signature,Bordeaux-style Red Blend,France,Bordeaux,9.0,87
58085,Domaine Houchart,Provence white blend,France,Provence,15.0,87
58086,Leasingham,Shiraz,Australia,South Australia,24.0,91
58087,Segura Viudas,Sparkling Blend,Spain,Catalonia,10.0,87
58088,Midnight,Red Blend,US,California,48.0,91
58089,Maryhill,Rhône-style Red Blend,US,Washington,36.0,86
58090,The Federalist,Red Blend,US,California,41.0,88
58091,Harlan Estate,Bordeaux-style Red Blend,US,California,150.0,93
58092,Fenestra,Zinfandel,US,California,26.0,86
58093,Ram's Gate,Chardonnay,US,California,64.0,92
58094,Tardieu-Laurent,Rhône-style Red Blend,France,Rhône Valley,28.0,90
58095,Juan Gil,Monastrell,Spain,Levante,16.0,87
58096,Trinitas,Chardonnay,US,California,40.0,91
58097,Marqués de Vargas,Tempranillo Blend,Spain,Northern Spain,26.0,90
58098,Sipp Mack,Sparkling Blend,France,Alsace,28.0,88
58099,Rontana,Sangiovese,Italy,Central Italy,17.0,87
58100,Duckhorn,Sauvignon Blanc,US,California,30.0,86
58101,Castillo Labastida,Tempranillo Blend,Spain,Northern Spain,17.0,87
58102,Château Goudichaud,Rosé,France,Bordeaux,16.0,87
58103,Insomnia,Red Blend,US,California,10.0,84
58104,Quinta de Sant'Ana,Fernão Pires,Portugal,Lisboa,14.0,87
58105,Cockatoo Ridge,Chardonnay,Australia,Australia Other,7.0,83
58106,Ryan Patrick,Bordeaux-style Red Blend,US,Washington,20.0,87
58107,Hawkins Cellars,Cabernet Sauvignon,US,Washington,20.0,83
58108,Domaines Barons de,Bordeaux-style Red Blend,France,Bordeaux,14.0,87
58109,Goose Ridge,Merlot,US,Washington,30.0,88
58110,Renieri,Sangiovese,Italy,Tuscany,26.0,85
58111,Barboursville Vineyards,Cabernet Franc,US,Virginia,25.0,90
58112,Red Tail Ridge,Teroldego,US,New York,40.0,87
58113,Alma Rosa,Chardonnay,US,California,28.0,91
58114,Viña Cobos,Malbec,Argentina,Mendoza Province,20.0,89
58115,X,Pinot Noir,US,California,27.0,87
58116,Markus Huber,Grüner Veltliner,Austria,Niederösterreich,12.0,86
58117,Taittinger,Champagne Blend,France,Champagne,75.0,91
58118,Voila!,Cabernet Franc,US,Washington,24.0,82
58119,Mumm Napa,Sparkling Blend,US,California,30.0,92
58120,Rochioli,Chardonnay,US,California,68.0,94
58121,Soos Creek,Red Blend,US,Washington,40.0,93
58122,Château Henri Bonnaud,Rosé,France,Provence,20.0,91
58123,Chacewater,Chardonnay,US,California,33.0,93
58124,Hayes Valley,Sauvignon Blanc,US,California,15.0,87
58125,Kumeu River,Chardonnay,New Zealand,Kumeu,42.0,92
58126,Trentadue,Merlot,US,California,14.0,90
58127,Chateau Reynella,Shiraz,Australia,South Australia,65.0,91
58128,Domaine Barmès-Buecher,Gewürztraminer,France,Alsace,90.0,95
58129,Perelada,Red Blend,Spain,Northern Spain,28.0,92
58130,Lachini,Chardonnay,US,Oregon,50.0,90
58131,Cantine San Silvestro,Dolcetto,Italy,Piedmont,14.0,86
58132,Rio Seco,Cabernet Sauvignon,Argentina,Mendoza Province,15.0,83
58133,Vista Hills,Pinot Gris,US,Oregon,20.0,86
58134,Snapping Turtle,Merlot,US,California,11.0,80
58135,Domaine Juliette Avril,Viognier,France,France Other,30.0,85
58136,6 Under,Chardonnay,US,Washington,24.0,87
58137,San Juan Vineyards,Madeleine Angevine,US,Washington,17.0,86
58138,Austin Hope,Grenache,US,California,42.0,89
58139,Schramsberg,Sparkling Blend,US,California,120.0,95
58140,Longevity,Petit Verdot,US,California,28.0,85
58141,Cardwell Hill,Pinot Noir,US,Oregon,15.0,84
58142,Fox Run,Rosé,US,New York,18.0,86
58143,A to Z,Pinot Gris,US,Oregon,15.0,90
58144,Alma Rosa,Pinot Noir,US,California,49.0,90
58145,Dominio de Atauta,Tinto Fino,Spain,Northern Spain,140.0,93
58146,Wirra Wirra,Cabernet Sauvignon-Merlot-Shiraz,Australia,South Australia,20.0,91
58147,Angove,Grenache,Australia,South Australia,75.0,93
58148,Paul Blanck,Riesling,France,Alsace,27.0,90
58149,Producta Vignobles,Bordeaux-style Red Blend,France,Bordeaux,12.0,85
58150,Il Paradiso di,Sangiovese,Italy,Tuscany,152.0,97
58152,Pere Ventura,Sparkling Blend,Spain,Catalonia,29.0,87
58153,àMaurice,Syrah,US,Washington,45.0,91
58154,Tenuta Pierazzuoli,Red Blend,Italy,Tuscany,33.0,87
58155,Girardet,Cabernet Sauvignon,US,Oregon,38.0,88
58156,Pinord,Sparkling Blend,Spain,Catalonia,12.0,87
58157,Santa Barbara Winery,Petite Sirah,US,California,28.0,88
58158,Boizel,Champagne Blend,France,Champagne,45.0,89
58159,Meadowcroft,Chardonnay,US,California,21.0,83
58160,Markus Huber,Grüner Veltliner,Austria,Niederösterreich,13.0,86
58161,Sebastiani,Pinot Noir,US,California,30.0,88
58162,Cayuse,Red Blend,US,Oregon,97.0,93
58163,Camparo,Nebbiolo,Italy,Piedmont,55.0,90
58164,Dr. Loosen,Riesling,Germany,Mosel,16.0,88
58165,Pazo de Señorans,Albariño,Spain,Galicia,25.0,89
58166,Raats Family,Bordeaux-style Red Blend,South Africa,Coastal Region,20.0,89
58167,Fontanabianca,Nebbiolo,Italy,Piedmont,62.0,91
58168,La Togata,Sangiovese,Italy,Tuscany,28.0,84
58169,Mas Blanch I,Red Blend,Spain,Catalonia,18.0,91
58170,Domaine Albert Mann,Sparkling Blend,France,Alsace,22.0,90
58171,Benmarl,Cabernet Franc,US,New York,20.0,88
58172,Cantina Valpolicella Negrar,Red Blend,Italy,Veneto,35.0,87
58173,Bernard Magrez,Bordeaux-style Red Blend,France,Bordeaux,30.0,86
58174,Broadside,Merlot,US,California,18.0,86
58175,Brooklyn West,Riesling,US,California,24.0,90
58176,Expression 38,Chardonnay,US,California,29.0,91
58177,Bellavista,Chardonnay,Italy,Lombardy,61.0,88
58178,Gary Farrell,Pinot Noir,US,California,55.0,90
58179,Quinta da Romaneira,Portuguese Red,Portugal,Duriense,15.0,90
58180,Domaine Houchart,Rosé,France,Provence,20.0,90
58181,Caves Aliança,Portuguese White,Portugal,Vinho Verde,8.0,83
58182,Rocca Giovanni,Nebbiolo,Italy,Piedmont,40.0,91
58183,Chanin,Pinot Noir,US,California,45.0,87
58184,Lynmar,Pinot Noir,US,California,70.0,93
58185,Andrieux & Fils,Rhône-style Red Blend,France,Rhône Valley,26.0,88
58186,Ribas del Cúa,Mencía,Spain,Northern Spain,43.0,87
58187,Casale della Ioria,Cesanese d'Affile,Italy,Central Italy,16.0,88
58188,Robert Hall,Rhône-style White Blend,US,California,20.0,88
58189,Huber,Spätburgunder,Germany,Baden,111.0,89
58190,Adega Vila Real,Tinta Roriz,Portugal,Douro,15.0,87
58191,Quevedo,Portuguese Red,Portugal,Douro,25.0,88
58192,Carpineto,Chardonnay,Italy,Tuscany,25.0,87
58193,Domaine Pascal et,Chardonnay,France,Burgundy,15.0,89
58194,Excelsior,Chardonnay,South Africa,Robertson,10.0,84
58195,Château de Santenay,Chardonnay,France,Burgundy,80.0,90
58196,Tolosa,Chardonnay,US,California,42.0,92
58197,Pleil,Grüner Veltliner,Austria,Niederösterreich,15.0,85
58198,Full Pull &,Chardonnay,US,Washington,23.0,90
58199,Clos du Val,Cabernet Sauvignon,US,California,80.0,91
58200,Peter Cellars,Syrah,US,California,29.0,90
58201,Alta Alella,Sparkling Blend,Spain,Catalonia,46.0,92
58202,Black Kite,Pinot Noir,US,California,48.0,91
58203,Finca la Rinconada,Red Blend,Spain,Northern Spain,30.0,83
58204,Viña Maipo,Chardonnay,Chile,Chile,13.0,85
58205,Falua,Rosé,Portugal,Tejo,10.0,84
58206,Mumm Napa,Sparkling Blend,US,California,22.0,87
58207,Château Cantin,Bordeaux-style Red Blend,France,Bordeaux,45.0,87
58208,Manuel Olivier,Aligoté,France,Burgundy,17.0,86
58209,Castello di Cacchiano,Sangiovese,Italy,Tuscany,45.0,90
58210,Olabisi,Cabernet Sauvignon,US,California,90.0,89
58211,Marchiori,Glera,Italy,Veneto,25.0,90
58212,Aresti,Red Blend,Chile,Curicó Valley,90.0,92
58213,Herdade do Rocim,Portuguese White,Portugal,Alentejano,20.0,86
58214,St. Pauls,Riesling,Italy,Northeastern Italy,18.0,90
58215,Château Tour des,Bordeaux-style White Blend,France,Southwest France,17.0,88
58216,Markus Wine Co,Gewürztraminer,US,California,22.0,90
58217,José Maria da,Portuguese Red,Portugal,Alentejano,16.0,88
